order_id,sale_date,sku,product_name,category,customer_name,region,quantity,unit_price,revenue,cost,sales_rep
ORD-6211425,07-Dec-2023,SKU-005,Furniture Item SKU-005,Furniture,Donovan-Harris,North,11,654.11,7195.21,3032.46,Jennifer Miller
ORD-8531631,2023-06-23,SKU-098,Office Supplies Item SKU-098,Office Supplies,Christensen PLC,South,51,19.18,978.18,949.81,Nathan Campbell
ORD-2376303,14-Apr-2023,SKU-022,Food & Beverage Item SKU-022,Food & Beverage,,South,31,24.81,769.11,386.46,Sylvia Lara
ORD-3155226,12-Mar-2023,SKU-014,Electronics Item SKU-014,Electronics,"Lee, Horton and Snyder",Central,26,483.63,12574.38,7137.23,Michelle Martinez
ORD-8189549,11/08/2023,SKU-020,Food & Beverage Item SKU-020,Food & Beverage,Gomez-Jenkins,West,28,66.58,1864.24,1083.5,Shane Ward
ORD-4925370,29/07/2023,SKU-027,Clothing Item SKU-027,CLOTHING,,Central,29,43.71,1267.59,538.93,Jeremy Hill
ORD-8728326,2023-04-08,SKU-009,Electronics Item SKU-009,electronics,Hancock Inc,North,23,241.15,5546.45,2613.37,Madison Murphy
ORD-9718036,01/01/2023,SKU-035,Clothing Item SKU-035,Clothing,Yu Inc,East,25,107.97,2699.25,888.63,Charles Buchanan
ORD-3584093,11/02/2023,SKU-022,Food & Beverage Item SKU-022,Food & Beverage,"Sanchez, Wheeler and Harvey",North,10,34.45,,207.05,Tyler Flowers
ORD-3679037,07/28/2023,SKU-011,Office Supplies Item SKU-011,OFFICE SUPPLIES,Lee-Davis,East,18,19.87,357.66,177.14,Brett Nichols
ORD-2687290,01/19/2023,SKU-099,Office Supplies Item SKU-099,Office Supplies,"Romero, Gonzalez and Brooks",Central,83,21.48,1782.84,1699.48,David Gomez
ORD-9375299,2023-07-08,SKU-035,Clothing Item SKU-035,Clothing,"Henderson, Ramirez and Lewis",West,37,200.8,7429.6,3625.08,Mr. Andrew Santos
ORD-5677995,2023-10-15,SKU-003,Clothing Item SKU-003,Clothing,Garcia LLC,Central,38,56.87,2161.06,851.47,Cynthia Price
ORD-1699652,28-Mar-2023,SKU-016,Furniture Item SKU-016,Furniture,Gonzalez Group,West,47,572.42,26903.74,10791.41,Miguel Lee
ORD-5700700,10/01/2023,SKU-014,Electronics Item SKU-014,Electronics,"Simmons, Meadows and Griffin",Central,47,364.21,17117.87,11033.82,Joel Thomas
ORD-3156305,13/05/2023,SKU-005,Furniture Item SKU-005,Furniture,"Robinson, Jones and Welch",South,41,438.63,17983.83,9349.57,Ashley Jones
ORD-2922336,19/12/2023,SKU-023,Office Supplies Item SKU-023,OFFICE SUPPLIES,"Mcclure, Ward and Lee",South,1,49.28,49.28,25.83,David Mills
ORD-5935684,2023-04-06,SKU-022,Food & Beverage Item SKU-022,Food & Beverage,"Wright, Garcia and Deleon",South,5,13.14,65.7,44.76,Keith Shaw
ORD-4635160,09/10/2023,SKU-032,Clothing Item SKU-032,Clothing,Lewis-Murphy,West,34,142.25,4836.5,1841.64,Stephanie Patel
ORD-1174089,06-Feb-2023,SKU-016,Furniture Item SKU-016,furniture,White-Green,Central,38,250.9,9534.2,4714.14,Joseph Foster
ORD-4082255,2023-10-29,SKU-002,Electronics Item SKU-002,Electronics,Walker LLC,North,22,499.22,10982.84,6086.07,Diane Obrien
ORD-8712035,10/01/2023,SKU-098,Office Supplies Item SKU-098,Office Supplies,Jackson-Lawson,East,43,78.94,3394.42,3295.48,David King
ORD-7809306,10/17/2023,SKU-036,Electronics Item SKU-036,Electronics,"Snyder, Campos and Callahan",Central,31,197.88,6134.28,3727.39,Alejandro Weaver
ORD-2046686,11/18/2023,SKU-018,Food & Beverage Item SKU-018,Food & Beverage,"Watts, Robinson and Nguyen",South,7,4.78,33.46,23.32,Gary Brown
ORD-5594415,2023-10-01,SKU-015,Furniture Item SKU-015,Furniture,Smith-Frost,Central,34,104.83,3564.22,1564.86,Mr. Christopher Crosby
ORD-9540685,04/08/2023,SKU-037,Electronics Item SKU-037,electronics,Carlson-Cruz,East,36,965.28,34750.08,20636.84,Tyrone Collins
